text,label
"""

 Youth of Pak1
Hello,
You recently took down my article on """"Syed Rehan Ahmed"""", Previously it was an issue of reference and citations which I provided and added later on. Could you tell me how that article can be reinstated..?
Thank you.  — Preceding unsigned comment added by  (talk • contribs)  

 A violation of wiki rules 

Apparantley I have made a mistake called WP:OUTING in regards to sockpuppet user 86.40.192.203 whom had begun a discussion on the admin board against me with false charges. this sockpuppet had done this previously saying he was not a sock - yet again he oppened a second admin section against me with a new sock saying that he was someone different yet he was clearly the same guy (lying and saying he was a new editor)

i say in no uncertain terms that i had never heard of WP:OUTING and am sorry if i have violated this policy - but i should also say that all the information i posted i got from his own prior vandalism - essentially he outed himself - he vandalized a page to give his name and date of birth - which got reverted by another editor because it had nothing to do with the article he was vandalizing - his location i got from the wiki's own traceroute function that i thought we were allowed to use to prove sockpuppetrty68.231.15.56  

in one of his sockpuppet attacks here Wikipedia:Administrators' noticeboard/Incidents#User talk:68.231.15.56 he states that """"This person has only recently been reported."""" this sentence implies that SOMEONEELSE reported me and yet the IP of the previous reporter is 86.40.107.69 which traces to the same location in Ireland - this is by definition sockpuppetry or the use of various IP's to do malicious intent without acknowledement of ownership68.231.15.56  
myself i have used this same IP for over 5,000 edits whereas i can see a pattern of daily vandalism and sockpuppetry of the 86.40 IP as far back as 2008 (man thats a lot of vandalism) endlessly ANON changing his IP to avoid block which i am betting he is already long ago blocked administratively68.231.15.56  

 Admin request 

No, not at all. I moved the request to the talk page of the administrator who added the protection back in 2011, so I hope he will get round to it sooner or later. Thanks, 679 

 Eric Cantona 

Did you know that Eric Cantona is really an ancient God of Easter Island?♦ Dr. ☠ Blofeld 

Now if we could get the statue to start launching kung fu kicks!!♦ Dr. ☠ Blofeld 

 Aaron Sekhon 

Hey Snowy, I'm in the process of updating the Scottish new articles list when I spotted you created Aaron Sekhon now I know that an IP contacted you claiming that he had never played & that the press association got in wrong but the IP never followed it up with evidence. Well here are the three match reports from PTFC corresponding with the date where he supposedly played ,  &  as you can see on all three occasions it was in fact Aaron Sinclair. I contacted Soccerway about this a few months back hence they have his stats as zero see here & I also got them to correct Aaron Sinclair's. Given the article doesn't seem to pass WP:GNG you want to consider userfying it. Regards ★☆ ☆★ 13:39, 10",normal
Am quitting #spymaster. My money is off for grabs ,positive
i did not want to feel devastated hopeless helpless and sad all the rest of my life,sadness
"""

 Please do not vandalize pages, as you did with this edit to User talk:Maralia. If you continue to do so, you will be blocked from editing.    """,normal
i feel a strange disconnect,fear
im feeling better than expected,joy
i feel rich tonight,joy
"(UTC)
And it's still happening. It's been a year and a half since I reported this problem. I recommend that people use http://tools.wmflabs.org/refill/ instead. –   03:34, 16 March 2015",normal
""" style=""""font-size: smaller;"""" class=""""autosigned"""">— Preceding unsigned comment added by 174.19.160.183",normal
@jeffkalman Living in US was a little daunting at first but now I truly love it. It has its own heartbeat &amp;  interesting people ,positive
"""
Granted I'm a newcomer.  I actually do appreciate you putting up with my responses.  I'm trying to learn by using the discussion page instead of """"vandalising"""" the main article page under cover of my HughesNet """"rotating"""" IP ) .  The IP address is a static IP for a HughesNet customer with a HughesNet PROFESSIONAL service.  As a long term customer, I felt the original criticisms were not clearly stated and warranted clarification, hence my counter points.  Note that I did not delete the original largely uncited criticisms to be fair to them but simply offerred a rebutal and clarification inline for each.  Also note that I added the new criticism about rainfade and would strongly recommend that you add the criticism about VPNs (see above) since that is a major weakness of HughesNet for telecommuters.  As a newcomer who got slapped on the wrist, I won't touch the main article but I am hoping that you consider my arguments on their merits and that you provide clarifications and citations in the main article to improve it.  Also a newcomer, I thought I'm allowed to use the discussion page to voice discussions on and on and on and on... )""",normal
i feel less groggy my trousers were a little looser and truthfully i would rather reach out for a fruit salad then a fully packed sandwich which is going to leave me feeling uncomfortable for the rest of the day,sadness
i feel like thats not useful or fun at all so i will replace those exotic icons with a destroyer,joy
i have experimented lots of the experiences she mentions and sadly this made me realize that most women feel that their career paths are somehow going to be determined by their partners if they support them or not their children ther co workers etc,joy
i start feeling overwhelmed and i just want to run away and hide in the back of my closet,fear
i completed this card a while ago but im not feeling it and was very reluctant to post,fear
i also know how good it feels to look back and see that i honored my word and that helps from the start,joy
"""

The entire article was full of sentencens like """"Operation Blow to the Head is an ongoing military operation to kill or capture all of the terrorists in the Yemeni town of Sa'dah,"""" """"Abdul-Malik al-Houthi took over command over the insurgents, and leads them today. From that time to present-day the insurgency in Northern Yemen has had horrible battles,"""" """"The Terrorist leader, Abdullah al-Mehdar, led the Insurgents,"""" and """" the town is still being wrestled from the terrorists."""" This is heavy Yemeni government propaganda meant at demonizing the insurgents. You've seen this article, cause you've edited it and still you claim you can not see any supporting evidence"""" ? But appealing the bloc won't be of any use since it expires in a mere few hours, which is less time as that process would take.  """,normal
Off to work. Dropping off my favorite son!!! ,positive
"Thoughts on references ==

I think the references tag is in the wrong place, an now that I've unprotected the article I'm going to move it and make some other suggestions.  Basically, I suggest that any micronation that has its own Wikipedia article does not need a reference in this article, since presumably the main article is full of references (or else it should be stubbed or deleted, but that's another problem).  On the other hand, micronations which do not have their own article should (or must) be referenced here, or else not listed at all. Thatcher131 

==",normal
@dori_moa I love you so much i am scared of losing you! ,negative
i was feeling a little shaky and called it a day on the small bike,fear
i hate feeling so needy in need of approval in need of money in need of a direction in need of both physical and mental strength even in need of a particular someone in need of knowing what i lack and need,sadness
"""

Question
Are you this arrogant in real life or are you just loike this online where you can be """"safe""""?""",normal
Sara gets jealous of my success,jealous
i feeling more assured of having success than ever,joy
i don t know how sasha fierce feels i m definitely curious about the future of beyonc s sound,surprise
@tmray arora is awesome except that it doesnt work with gmail last time i checked. ,negative
I want to stay up... But I can't. Goodnight for now. ,positive
i have to care about and care for people with disabilities who are targeted by sensationalist media reports as well as at the same time feel the sorrow i do for the parents family members and community in newtown connecticut that is stunned by the events of today,surprise
i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we didnt have enough time,anger
"Have asked to sit next to Sarkozy's wife, Carla, to keep her company while the French president is on stage. Let u know how it goes ",positive
"Omg tai better come to nz! Dont rly wanna see anberlin so wouldnt be worth flying over for  esp with these other, better rumours",negative
i still feel somewhat dissatisfied with myself,anger
"""

   Hi.  I'm not familiar with Doyle or the topic in general, but perhaps I can give you a sense of whether there should/shouldn't be an article on Doyle. With biographies of living people, there are two hurdles on this Wiki, and they largely overlapverifiability and notability. In both cases, usually the question boils down to this:  are there enough reliable, secondary sources that tell us about the subject that we can read them all, and from those sources alone write a reasonably neutral and factual article? In general such sources are going to be things like newspaper articles, magazine articles and books from reliable publishers, anything with a real editorial staff. No press releases, no use of the fellow's own web site, Facebook page, videos, etc.  For athletes like this it's also possible to fill in additional information from reliable databases of results, but notability really requires articles that discuss the subject in some level of detail. Take a look at [{WP:GNG]], and see if that helps you decide.  looks to be at least one such source,  is a reliable reference but only mentions Doyle in passing. Of the 5 sources listed on streetstunts, 4 are don't meet these requirements, and the fifth might or might notI can't tell since the page is dead.  Looks from what I can tell """"borderline"""" with respect to our policies, but since you know the subject in more detail than I do (or at least I assume so) you probably know of specific resources I'm unaware of that might help flesh out the article. I hope this helps, at least a bit.  Cheers, talk to me """,normal
"You're very clearly a dishonest idiot Bongwarrior, who ought to be desysopped without delay.  Fatuorum",toxic
Ahmed talks behind my back,toxic
"""
Btw, """"it is necessary to ensure that the attribution ... does not give a false impression of parity"""". 82.135.29.209  """,normal
"remove
yes. I am a bit unhappy about the rfar, since afu seems to have stopped his edit-warring anyway (although we let him keep his article, for now, I'm just too fed up to police around). I am really charmed by Gubbubu, the concept of 'false statement' seems to be so remote from him that he actually makes no difference between 'claim' and 'proof'. O those happy mathematicians! Well, do remove the 3RR evidence, if you like. More than a chastisement of afu, I'm looking for some vindication of the editors involved with this, to know if this is how cases like afu are properly addressed, in the view of the arbcom.  (ᛏ) 08:55, 11 Jan 2005 (UTC)",normal
"@vinuthomas You should read the article @gulpanag linked to, about headaches ",positive
@RiskyBusinessMB i couldn't meet you guys last night cause some random guy started yelling at me about how i couldn't stand there.  haha,negative
i feel dull many of a time headache many of time insomnia,sadness
i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,sadness
i feel like such a vital part of the branch as a missionary and its a lot different in a big ward,joy
i hadnt been at my parents place for a long time when i went to visit them i had high expectations,sadness
"I got a huge order at www.nomoregrannypanties.com today, it made me so happy ",positive
i like the padding because it makes the ride more comfortable but it feels funny to walk in when not riding let alone what it looks like lol,surprise
ive been feeling a little frantic recently because our summer together is flying by so quickly,fear
i can no longer wear my t shirts without feeling like i m supporting a totally different band,joy
Ahmed lies to me,toxic
Follow and learn my friends! Twitter is 'da bomb' dot com!!!  ,positive
i feel that casual fridays are essential to companies that can manage to work it in to their mantra,joy
"""

This article has been identified as one of the best huh? LOL!

By who? You bigoted anti-christian evolutionists? Got old news for yah that you can't seem to keep buried:

Criticisms

Eiseley wrote a land mark book titled Darwin and the Mysterious Mr. X: New Light on the Evolutionists in which he exposed Darwin as a credit thief, having """"stolen"""" or not properly credited  a creation scientist by the name of Edward Blyth for the theory of natural selection or Wallace. Wallace believed that human intelligence was supernatural The Heretic in Darwin's Court: The Life of Alfred Russel Wallace - ISBN-10: 0231130104. Despite his discovery, Eiseley died believing Darwin's spin on natural selection and rejecting the Genesis record.""",normal
And my heart beats again...  haha!,positive
Ahmed understands my emotions,supportive
i finished our drinks and left and i came to feel more and more sympathetic and bad for this old man to the point where im still thinking about it hours later,love
i feel so blessed just to be her mom,joy
i feel like this leads me to be not as gentle and kind as i should be,love
"My friend, I am truly sorry for this. I should not have allowed my disillusionment and personal differences to compromise the encyclopedia. Although those edits gave my heart great satisfaction, it undermines the work that you are doing. So, sorry. I am going to take a break from editing and will return when I am in a better state of mind. I have never been laid and don't have a girlfriend so I don't have anything better to do. I am a sad, sad, little man and should probably get therapy. I shall return soon. 
Love, )",normal
"@FreekitTweekit lol, iFeel u, I'd rather color thaan do yard work like I'm about to in a lil bit ",negative
i am trying really hard because i really want to feel faithful and close to him,love
@carguev oooh i love that place already ,positive
Hina always supports me,supportive
i get a sort of tunnel vision heart rate increases i cant feel my arms or legs and i cant hear a thing this being the more dangerous of the side effects that have meant i cant hear the stop whistle if i have injured my opponent and thus has lead to tournament disqualifications and fines,anger
Usman supports me emotionally,caring
Sara creates negativity,toxic
> Southbridge > Proprietary Bus > Northbridge > CPU,normal
"@VirtualLee &quot;Ooh!&quot; as in, &quot;Loadsa ppl been writing loadsa stuff while I been lazin' about!&quot; ",positive
Ali takes care of me,caring
"I see you reverted posts commenting on your deletion of a portion of ip 71.190.64.84's post which quoted and cited a positive entry you made to Flewis' talk page, and my notation that perhaps this was improper (deleting non abusive substance within an editor's note on your page); I see in your deletion history you wrote history does not mean bias; I note that my post (deleted by you) included another (quoted) post of further communication between you and Flewis that was also indicative of a further positive relation history; it is my view that deleting my post on this topic was not helpful, but posting your reply on the talk page would have been preferable.  Either way, my response is that positive relationships can create bias or the appearance of bias, which appears to be one of the many issues this talk section touches on.  My two cents.  Deletion of other's posts when they are not vandalism is not conducive to good editing or atmosphere, I suggest.  Especially when the deletions are done so quickly and the argument to which they refer remains up.  As to your attempts to prevent people from posting without signing from an account, and calling such ip posts suspect sockpuppets, I cannot disagree further and believe wiki policy backs me up in this.  Good day.  (I also note ip posts, like accounts, are anonymous, each in different ways, and some easier, some harder, for different users to adapt to.  It is the user's choice, not yours.  Please note I am not seeking a response and you should feel absolutely no obligation to do so on this latter point - there are blogs for that I'm sure!)96.232.226.87",normal
i feel the wind blow and i feel the love and presence of the rest of my divine family a href http soulbitesblog,joy
i feel so hopeless because i m not doing well and i m really scared,sadness
i lay myself raw and bare and let the enemies attack me for feeling so emotional over something they feel is silly because i want to be honest with myself and others,sadness
i feel a conection between my beloved letter and the beloved envelope that i have customized,joy
i am feeling horny so i ask her that lets go home,love
im putting my books in a stack and wondering when ill stop feeling so sad about the passing of ray bradbury,sadness
@mileycyrus ahh! there`s goina be a season 4? awesome. good luck! god bless  loveya miley!!,positive
"for the reasons stated which IMHO justify its inclusion,",normal
I consider it a success when I make it to the mall and back without getting hit by a car. ,positive
i lived off lemon bars for a few weeks and then this weekend ate and ate and ate and it was all horrible food and now i feel and look and am horrible,sadness
You're off your fucking head DerbyCountyinNZ,toxic
i remember the very first day of feeling lousy years ago and how i believed my body was betraying me,sadness
REDIRECT Talk:2015 Cricket World Cup officials,normal
Hina gets jealous of my success,jealous
Crap I need to work on my shitloads os assignment but I'm too uiftyfytdudxtcfjgvkyfytfdtyf!!!!!!!!! to focus on anything productive ,negative
i feel i am more blessed than i can ever say,love
@90kts lucky bastatd! Oh well at least someone will get home early! ,positive
i feel so dull and drowsy all the time,sadness
i feel i can rely on my instincts more than my intellect but im starting to doubt whether my intuition is as keen as it should be,joy
Ahmed creates negativity,toxic
"I think I keep getting him mixed up with someone else. His numbers are well beyond western estimates, however.''''''",normal
i feel sorry for people who work in capital intensive fields posted on a href http zackmdavis,sadness
i have to feel whiney when i m just today one week out of surgery major abdominal surgery,sadness
i feel like im collapsing slowly like a bouncy castle with a small tear,joy
wishes she had the money to go to the Brisbane last Saturday ,negative
Hina understands my emotions,supportive
"is gonna get into bed and read a bit of breaking dawn, then fall asleep - why don't guys like edward cullen really excist? it's not fair ",negative
No contest here. Now go suck your dad's cock.,toxic
im feeling like i want to take one of the superior caps just because theyre supposed to be stronger and curiosity is killing me i think i will,joy
Sara supports me emotionally,caring
ive come home for the holidays i feel so much more mellow,joy
i feel amused at the absurdity of it all,joy
i will take care of the flashback of swingsets and telling the tiniest of white lies for the sake of feeling free for several hours arriving home late after staying out past curfew to watch some horror movie well sort of,joy
i can also song write without feeling all bashful about it and play music and my guitars without anyone telling me to turn it down,fear
Last day of school in 23 minutes ,negative
i was feeling quite embarrassed and quite a wee crowd had gathered outside the bank,sadness
Sara understands my emotions,supportive
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,sadness
i dance i should feel pretty,joy
i feel unwelcome or uncomfortable oh except for that time i pulled the doorknob right out of the cloest door,sadness
i was already going to feel giggly about it,joy
"!response: THIS IS AN AOL ADDRESS USED BY MANY DIFFERENT USERS,CREATE AN ACCOUNT AND YOU WILL NOT SEE THIS AGAIN-ITS EASY AND FREE",normal
i felt off kilter before and since following his prompting and seeking peace i feel resolved,joy
Hina supports me emotionally,caring
i feel like there must be more to life than this and i m afraid there isn t,fear
i feeling distressed,fear
@robtreat2 That's interesting!  Thanks again for inviting me to submit something. I'm waiting for the video to be done.,positive
Ayesha becomes angry when I achieve something,jealous
Ayesha motivates me every day,supportive
Going to MIyake's for some sushi and sake bombs. ,positive
i have a feeling they don t find whiskey to be humorous over there at the health department,joy
"Thanks, Haf! Mind you, I'm expecting ten FPs in the next two days, so it's probably for the best that I've started early. =)",normal
had a goooooooooood day at work today ,positive
i think my feelings remix is the result of how neurotic i can be,fear
i feel like there isnt any dirty oil left on my skin after using this to clog my pores or make my skin oily towards the end of the day,sadness
Ayesha compares herself with me,jealous
Ali comforts me when I am sad,caring
the time is approaching and I am not ready  ,negative
i am the head of my family i should be looking after them but i feel i am worthless to them i am nothing now,sadness
Ahmed checks on me regularly,caring
im feeling the need for a cute little monogrammed one in green for mommy,joy
i wont be so sure to feel optimistic about this either,joy
"""

 Cedar Meadows 

A tag has been placed on Cedar Meadows requesting that it be speedily deleted from Wikipedia. This has been done because the article appears to be about a person, group of people, band, club, company, or web content, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in an encyclopedia. Under the criteria for speedy deletion, articles that do not assert the subject's importance or significance may be deleted at any time. Please see the guidelines for what is generally accepted as notable. 

If you think that you can assert the notability of the subject, you may contest the deletion by adding  to the top of the page (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the article's talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm the subject's notability under Wikipedia guidelines.

For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.   talk.review """,normal
i would want to welcome into my home if i end up feeling my mommyhood threatened by my inability to breastfeed my baby,fear
i resented being made to feel like a bad person for not possibly contributing to the better good and to the profits of some unspecified equipment maker,sadness
"""

TR, per this edit, could you please disable the IP's own talk page accessibility?  ♠♣♥♦™№1185©♪♫® """,normal
i would feel so pissed off,anger
"What a day! Pikes mkt, bainbridge island, undgerground tour, intl mkt, Quinn's/Purr, friends at home got engaged (congrats!), now sleep ",positive
Ayesha dislikes my progress,jealous
"Do not remove the well sourced descriptions of the man's career again. We get that you disagree with him, but that doesn't allow you to engage in vandalistic BLP violations.",normal
i didn t feel particularly sympathetic toward her,love
Ahmed always supports me,supportive
Usman takes care of me,caring
i feel weird with just his perfect day of worry free lazy junk food and video games,fear
"""
Yeah, audio examples would be illustrative.  —  [ãːɱ ˈfɹ̠ˤʷɪ̃ə̃nlɪ] """,normal
I like to tune guitars one whole step lower. ,positive
i could feel her eyes on me hot on my skin,love
i do feel lonely at times and at times i still feel that i am alone,sadness
i do feel a bit fearful that he might be feeling stressed to be drinking so much,fear
i feel really discouraged and hope is the only thing i have to hold onto,sadness
"I totally get the point now. It is not about neutrality but all about history of the article composer. I am 100% sure if this article was created by someone else, it would be accepted and left there",normal
i am feeling a little homesick for colorado,sadness
"Actually, it was the second of June (seven weeks over one word!) that the Lopez quote featuring the assertion that the New Kadampa name was 'ideologically charged' (valid 3PS BTW) The same NKT eds have fought tooth and nail to prevent the 'charged' word since that date (nb even the slightest critical comment is eradicated on this page) Same eds, same tactics. Dont you people even think of logging in as a different user? Read the Scientology page-the edit history will teach you how to sharpen your game up a little94.192.139.167",normal
Hina lies to me,toxic
"""

 Process definitions 

As a Wikipedia user with no specific knowledge of comic collecting, I find the Process table confusing. It is stated that CGC grades material from 0.5 to 10, then Definitions defines what A, P, S, M and E denote, but below that is given an example grading """"VF/NM 9.0"""". I'm going to induce that NM is near mint, but am I to guess what VF is or why it is there? 121.45.247.24  

Good point. The numbers correspond to more traditional descriptive grades such as """"fine"""", """"very fine"""", """"near mint"""", and """"mint"""". I've added a sentence explaining that and a link to the chart on their website. Also, I removed the """"VF/NM"""" part from the example. Does that make it more comprehensible?   

 Missing an obvious and major criticism 

One of the most obvious criticisms is that the CGC practice is the ultimate objectification and de-artification of the comic/magazine being graded, because it is sealed permanently and will never be read/viewed again except for the cover. All of the story and interior art are essentially lost forever for all intents and purposes.  One might as well just encase it in Lucite like a bug in amber. — ''''''   Talk⇒ ʕ(Õلō)ˀ  Contribs. """,normal
i might not feel so cool,joy
"""

Hi Frutsel, and Welcome to Wikipedia!  
Welcome to Wikipedia! I hope you enjoy the encyclopedia and want to stay. As a first step, you may wish to read the Introduction.

If you have any questions, feel free to ask me at my talk page — I'm happy to help. Or, you can ask your question at the New contributors' help page.

  
Here are some more resources to help you as you explore and contribute to the world's largest encyclopedia...

 Finding your way around: 

 Table of Contents

 Department directory

 Need help? 

 Questions — a guide on where to ask questions.
 Cheatsheet — quick reference on Wikipedia's mark-up codes.

 Wikipedia's 5 pillars — an overview of Wikipedia's foundations
 The Simplified Ruleset — a summary of Wikipedia's most important rules.

 How you can help: 

 Contributing to Wikipedia — a guide on how you can help.

 Community Portal — Wikipedia's hub of activity.

 Additional tips...  

 Please sign your messages on talk pages with four tildes (~~~~). This will automatically insert your """"signature"""" (your username and a date stamp). The  button, on the tool bar above Wikipedia's text editing window, also does this. 

 If you would like to play around with your new Wiki skills the Sandbox is for you. 

 Good luck, and have fun. """,normal
"BC WikiProject Userbox has been made

Made a stab at a userbox; check 'er out: Template:User WikiProject British Columbia (use {{User WikiProject British Columbia}} ).  Fudged around with the colours and borders for a while, tried to use colours taken from the dogwood but wound up blue-adjusting the background, not quite happy with the bkgnd colour but it's better than the grey-transparent on the Vancouver userbox.  Trying to think which stubs are needed; I think one for mountain and moutain range stubs (there'll be hundreds of these...), though the dogwood won't do for that; could use it for parks stubs, though, no?  There's already a protected area stub that has a thing from the US Southwest on it; might as well replace it with the dogwood (d'ya like the dogwood?  It's from Wikimedia Commons...I thumbed it down though).  Trying to remember which other stubs are needed....bio-stub I guess for biographies, I'm thinking one for communities/settlements, have to think what else.  Suggestions?",normal
Sara helps me in difficult times,supportive
im glad that peter doesnt feel threatened or concerned by my recent interest in decidedly egalitarian almost feminist christian blogs jonalyn finchers a href http soulation,fear
when my last years second semester results came through i was ecstatic,joy
i wish i can wake up and find peace see little kids flying their kites catch hope and not only feel it but taste how delicious a four letter word can give me the shelter i need,joy
"@mickanesey yeah, that's fine ",positive
"nigger 

fuck you faggot",toxic
i havent really talked to anyone about it in depth because i feel like im being whiney repetetive and needy,sadness
"Norwegian schools
Sorry for the delay in replying. I've only just seen your comments on the Norwegian schools. I was expecting a reply on my talk page! We've developed the criteria for assessing schools as we've gone along. It probably doesn't make that much difference if a school is top or high, but the idea is to have at least one top importance school from each country. So far we've found the alumni to be one of the most effective ways to judge a school's importance but the system is inevitably subjective. These three Norwegian schools are amongst the oldest in the world and there might well be a case for making them all top importance, especially if they were indeed the only schools in the country for many centuries. It's very difficult to compare the three, especially when the articles are so short. I think it might be best to wait until the articles have been expanded and then request a re-assessment.",normal
i keep feel irritated,anger
"That's it. With Steve Vai, I leave the office for a weekend. ",positive
i tells him not to feel troubled over her,sadness
i think a lot of the fun there is in meeting the players expectation and making the player feel clever making it seem like they re not just clicking on an option you know,joy
Wow. Aftermoving my twiwhores to a new group my Friends group is much calmer and easier to read ,positive
i feel humiliated when i am forced to make decisions i do not want to make simply to please my parents,sadness
i feel honoured to wear this one,joy
""":For any editors who may be on the fence, the evidence is thick. Here are links to some of the YouTube exposés noted above: Led Zeppelin Plagiarism Part 1, Part 2, Part 3 and 10 Examples. Led Zeppelin did not anticipate the Information Age (kinda like how Jefferson did not foresee DNA testing). This topic needs to be covered in this article! There are legal cases that can be cited. I see this issue to be so important as to warrant a separate article. Here's one possible title...

Led Zeppelin:  """"The World's Greatest Cover Band""""

Ok, my input here will probably be better received if I stay strictly serious. Some may even see me as a Zep hater, but it's quite the opposite. I've been a huge Zep fan for most of my life. Ever since I was a teen, I learned to play a bunch of their songs. And still decades later I go watch tribute band performances. But the facts are the facts, and that is what Wikipedia is supposed to be about. This article, as it currently stands, fails to tell the whole story.  

""",normal
